Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
1,Discovery,Daft Punk,4.09,44345,2001
2,Daughter of Darkness,Natural Snow Buildings,3.99,6295,2009
3,The Dance of the Moon and the Sun,Natural Snow Buildings,3.97,6903,2006
4,From Mars to Sirius,Gojira,3.93,13881,2005
5,The Winter Ray,Natural Snow Buildings,3.93,2439,2004
6,Shadow Kingdom,Natural Snow Buildings,3.88,2357,2009
7,"Fas – Ite, maledicti, in ignem aeternum",Deathspell Omega,3.84,5524,2007
8,Complete Organ Works,Olivier Latry,3.91,236,2002
9,K.A,Magma,3.84,2670,2004
10,Variations Goldberg BWV 988,Pierre Hantaï,3.86,652,2003
11,The Way of All Flesh,Gojira,3.8,7590,2008
12,Night Coercion Into the Company of Witches,Natural Snow Buildings,3.83,1112,2008
13,Turangalîla Symphony; L'ascension,Olivier Messiaen,3.82,308,2000
14,L'île re-sonante,Eliane Radigue,3.8,1143,2005
15,Ëmëhntëhtt-Ré,Magma,3.78,1425,2009
16,Mauvais œil,Lunatic,3.78,651,2000
17,Quatuor pour la fin du temps,Olivier Messiaen,3.81,395,2001
18,Les espaces acoustiques,Gérard Grisey,3.78,982,2005
19,in vain,Georg Friedrich Haas,3.79,694,2003
20,Musikalisches Opfer,Johann Sebastian Bach,3.81,291,2001
21,Memoria Vetusta II: Dialogue With the Stars,Blut aus Nord,3.76,2598,2009
22,The Snowbringer Cult,Isengrind / TwinSisterMoon / Natural Snow Buildings,3.76,1835,2008
23,The Piano Concertos,Béla Bartók,3.93,162,2005
24,Drinking Songs,Matt Elliott,3.72,5116,2005
25,Lamentations,Emilio de' Cavalieri,3.78,305,2001
26,"Si monvmentvm reqvires, circvmspice",Deathspell Omega,3.71,4720,2004
27,† [Cross],Justice,3.66,17966,2007
28,Le royaume oublié : la croisade contre les Albigeois - la tragédie cathare,Beatritz de Diá,3.87,166,2009
29,Veritas Diaboli manet in aeternum,Deathspell Omega / S.V.E.S.T.,3.72,947,2008
30,Souvenirs d'un autre monde,Alcest,3.66,13145,2007
31,ハードにさせて (Hard ni sasete),Tujiko Noriko,3.72,1733,2002
32,Temps mort,Booba,3.71,626,2002
33,The Ligeti Project I: Melodien; Chamber Concerto; Piano Concerto; Mysteries of the Macabre,György Ligeti,3.76,274,2001
34,The Work Which Transforms God,Blut aus Nord,3.69,3536,2003
35,Laisser vivre les squelettes,Daïtro,3.7,1730,2005
36,L'imprudence,Alain Bashung,3.69,1062,2002
37,Neighbourhood,Manu Katché,3.73,234,2005
38,Crève cœur,Daniel Darc,3.71,327,2004
39,"The Ligeti Project III: Cello Concerto; Clocks and Clouds; Violin Concerto; Síppal, dobbal, nádihegedűvel",György Ligeti,3.74,192,2003
40,Comm'si la terre penchait,Christophe,3.71,250,2001
41,No Surrender,Kickback,3.69,434,2009
42,Howling Songs,Matt Elliott,3.66,1522,2008
43,L'ombre sur la mesure,La Rumeur,3.71,264,2002
44,Bleu pétrole,Alain Bashung,3.68,581,2008
45,Virus,Heavenly,3.66,495,2006
46,Des visages des figures,Noir Désir,3.66,1759,2001
47,Ewaz Vader,One Shot,3.69,320,2006
48,La tarantella: Antidotum tarantulae,L' Arpeggiata / Christina Pluhar / Lucilla Galeazzi,3.68,386,2002
49,Yo-Yo Ma Plays Ennio Morricone,Yo-Yo Ma,3.7,215,2004
50,203 Barriers,Kill the Thrill,3.68,291,2001
51,When Stars Glide Through Solid,TwinSisterMoon,3.66,748,2007
52,Intimate Rituals,Horațiu Rădulescu,3.64,1091,2006
53,Urfaust,S.V.E.S.T.,3.65,725,2003
54,Vingt regards,Olivier Messiaen / Pierre-Laurent Aimard,3.85,149,2000
55,Dust to Dust,Heavenly,3.63,401,2004
56,Astero,37500 Yens,3.65,508,2007
57,Wings of Lead Over Dormant Seas,Dirge,3.64,689,2007
58,Someday We Will Foresee Obstacles,Syd Matters,3.63,953,2005
59,Homo fugit velut umbra...,L' Arpeggiata / Christina Pluhar,3.65,294,2002
