Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year,Genre
1,0,Ichiko Aoba,4.01,12005,2013,"Contemporary Folk,Singer-Songwriter,Field Recordings,Avant-Folk,Progressive Folk"
2,The Ghost~Pop Tape,Devon Hendryx,3.86,11270,2013,"Alternative R&B,Ambient Pop,Art Pop,Hypnagogic Pop,Vaporwave,Cloud Rap,Downtempo,Experimental Hip Hop"
3,アンハッピーリフレイン (Unhappy Refrain),wowaka,3.88,2449,2011,"J-Rock,Post-Hardcore,Math Pop,Math Rock,Dance-Punk"
4,かがやき (Kagayaki),Masakatsu Takagi,3.87,4792,2014,"Chamber Folk,Neoclassical,New Age,Nature Recordings,Field Recordings,Japanese Folk Music,Min'yō,Ambient"
5,qp,Ichiko Aoba,3.85,6514,2018,"Contemporary Folk,Singer-Songwriter"
6,放課後ティータイムII (Ho-kago Tea Time Second),Hokago Tea Time,3.82,1821,2010,"Power Pop,J-Rock,Television Music,Pop Punk"
7,The Legend of Zelda: 25th Anniversary Special Orchestra CD,Koji Kondo,3.84,751,2011,"Video Game Music,Orchestral Music,Cinematic Classical"
8,つまんね (Tsumanne),Shinsei Kamattechan,3.79,5296,2010,"Noise Pop,J-Rock,Shoegaze,Dream Pop,Neo-Psychedelia,Emo,Denpa"
9,Never More -Reincarnation: Persona 4- (ネバー＊モア ─「ペルソナ4」輪廻転生─),Shoji Meguro,3.83,516,2011,"Video Game Music,Pop Rock,Jazz Pop,Dance-Pop,J-Pop"
10,東京ユウトピア通信 (Tokyo Utopia Tsushin),Lamp,3.8,1648,2011,"Shibuya-kei,Jazz Pop,Lounge,Progressive Pop,Sophisti-Pop"
11,剃刀乙女 (Kamisori otome),Ichiko Aoba,3.78,4301,2010,"Contemporary Folk,Singer-Songwriter"
12,T H E,tricot,3.76,7445,2013,"J-Rock,Math Pop,Math Rock,Post-Hardcore"
13,Never,Think Again,3.79,1043,2012,"Japanese Hardcore,Burning Spirits,Crust Punk"
14,Eureka,Kinoko Teikoku,3.76,5562,2013,"Indie Rock,Shoegaze,Dream Pop,Post-Rock,J-Rock"
15,ゆめ (Yume),Lamp,3.76,3738,2014,"Shibuya-kei,Sophisti-Pop,Chamber Pop,Jazz Pop,Lounge,Progressive Pop,Smooth Jazz"
16,渦になる (Uzu ni naru),Kinoko Teikoku,3.77,2165,2012,"Indie Rock,Shoegaze,Post-Rock,Dream Pop,J-Rock"
17,第二幕 (Dai-ni-maku),Kikuohana,3.78,787,2017,"Art Pop,Electronic,Dark Cabaret,Breakcore,Jazz Pop,Neoclassical Darkwave,Progressive Pop"
18,Fetch,Melt-Banana,3.72,8965,2013,"Noise Rock,Experimental Rock,Art Punk,Glitch"
19,マホロボシヤ (Mahoroboshiya),Ichiko Aoba,3.76,3196,2016,"Contemporary Folk,Singer-Songwriter"
20,おむすひ (Omusuhi),Masakatsu Takagi,3.78,255,2013,"Neoclassical,New Age,Nature Recordings,Chamber Folk,Ambient,Field Recordings,Electronic"
21,エアにに (Air ni ni),Hakushi Hasegawa 長谷川白紙,3.73,3857,2019,"Progressive Pop,Jazz Pop,Nu Jazz"
22,燃えない灰 (Moenai Hai),The Gerogerigegege,3.72,3513,2016,"Dark Ambient,Noise Rock,Field Recordings,Drone,Musique concrète,Reductionism"
23,Гипноза (Gipnoza),核P-Model,3.79,222,2013,"Electropop,Art Pop,Zolo,Electro-Industrial"
24,Dum Spiro Spero,Dir en Grey,3.73,1429,2011,"Progressive Metal,Avant-Garde Metal,Alternative Metal,Deathcore,Doom Metal"
25,Arche,Dir en Grey,3.74,1234,2014,"Alternative Metal,Visual kei,Progressive Metal,Avant-Garde Metal,Post-Metal"
26,予襲復讐 (Yoshū fukushū),Maximum the Hormone マキシマム ザ ホルモン,3.73,1477,2013,"Alternative Metal,Pop Punk,Metalcore,Japanese Hardcore,J-Rock,Funk Metal"
27,Piece of Cipher +,Electrocutica,3.74,963,2013,"Art Pop,Indietronica,Electronic,IDM,Glitch Pop,Breakbeat,Artcore"
28,渋夜旅 (Shibu-yotabi),Shibusashirazu 渋さ知らズ,3.76,331,2010,"Experimental Big Band,Jazz-Rock,Jazz Fusion"
29,回=回 (Kai=Kai),Kaku P-Model 核P-Model,3.75,412,2018,"Electro-Industrial,Art Pop,Electropop,Industrial Rock"
30,Continuum Unbound,Michael Pisaro-Liu,3.73,706,2014,"Nature Recordings,Musique concrète,Drone,Bird Sounds,Indeterminacy"
31,春と修羅 (Haru to shura),Haru Nemuri 春ねむり,3.69,8764,2018,"Noise Pop,J-Rock,Japanese Hip Hop,Post-Hardcore,Noise Rock,Art Rock,J-Pop"
32,Alive,The Trio Project,3.74,522,2014,"Jazz Fusion,Post-Bop"
33,楽しいね (Tanoshiine),Shinsei Kamattechan 神聖かまってちゃん,3.73,935,2012,"Noise Pop,J-Rock,Power Pop,Neo-Psychedelia,Shoegaze"
34,陽だまり,Uwanosora ウワノソラ,3.77,195,2017,"Shibuya-kei,City Pop,Jazz Pop,Sophisti-Pop"
35,第一幕 (Dai-ichi-maku),Kikuohana きくおはな,3.73,629,2016,"Art Pop,Jazz Pop,Classical Crossover,Folktronica,Breakcore,Dark Cabaret"
36,きくおミク6 (Kikuo Miku 6),Kikuo きくお,3.71,2223,2019,"Art Pop,Progressive Pop,Glitch Pop,Dark Cabaret,Future Bass,Musette"
37,Angel of Salvation,Galneryus,3.7,903,2012,"Power Metal,Symphonic Metal,Neoclassical Metal,Progressive Metal"
