Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
1,To Pimp a Butterfly,Kendrick Lamar,4.38,82155,2015
2,"good kid, m.A.A.d city",Kendrick Lamar,4.31,68587,2012
3,My Beautiful Dark Twisted Fantasy,Kanye West,4.09,77859,2010
4,The Money Store,Death Grips,4.1,59187,2012
5,Igor,"Tyler, the Creator",4.08,61568,2019
6,Atrocity Exhibition,Danny Brown,4.15,42253,2016
7,Blonde,Frank Ocean,4.1,53541,2016
8,★ [Blackstar],David Bowie,4.13,37121,2016
9,Carrie & Lowell,Sufjan Stevens,4.09,32105,2015
10,To Be Kind,Swans,4.05,30001,2014
11,Piñata,Freddie Gibbs & Madlib,4.07,27887,2014
12,Twin Fantasy,Car Seat Headrest,3.99,31591,2018
13,We got it from Here… Thank You 4 Your service,A Tribe Called Quest,4.04,20192,2016
14,Flower Boy,"Tyler, the Creator",3.92,50678,2017
15,Titanic Rising,Weyes Blood,3.99,30290,2019
16,Jenny Death: The Powers That B Disc 2,Death Grips,4.03,19653,2015
17,The Seer,Swans,3.99,22691,2012
18,Yeezus,Kanye West,3.84,61614,2013
19,KIDS SEE GHOSTS,KIDS SEE GHOSTS,3.89,46606,2018
20,Bottomless Pit,Death Grips,3.94,32778,2016
21,Have One on Me,Joanna Newsom,4.02,12016,2010
22,Some Rap Songs,Earl Sweatshirt,3.91,34422,2018
23,A Crow Looked at Me,Mount Eerie,3.96,19919,2017
24,The Life of Pablo,Kanye West,3.82,54300,2016
25,Black Messiah,D'Angelo and The Vanguard,3.97,12964,2014
26,channel ORANGE,Frank Ocean,3.86,39838,2012
27,Mista Thug Isolation,Lil Ugly Mane,3.93,19077,2012
28,The Glowing Man,Swans,3.94,14856,2016
29,This Is Happening,LCD Soundsystem,3.9,22377,2010
30,You Won't Get What You Want,Daughters,3.84,27109,2018
31,Rodeo,Travis Scott,3.86,29913,2015
32,Bloom,Beach House,3.87,27034,2012
33,Just Got Back From the Discomfort—We're Alright,The Brave Little Abacus,3.91,15065,2010
34,The G.A.T...,Mach-Hommy,3.97,4490,2017
35,Teens of Denial,Car Seat Headrest,3.88,21960,2016
36,A I A: Alien Observer,Grouper,3.92,14731,2011
37,Helplessness Blues,Fleet Foxes,3.89,18760,2011
38,The Idler Wheel Is Wiser Than the Driver of the Screw and Whipping Cords Will Serve You More Than Ropes Will Ever Do,Fiona Apple,3.9,15346,2012
39,Cosmogramma,Flying Lotus,3.86,25190,2010
40,OIL OF EVERY PEARL'S UN-INSIDES,SOPHIE,3.84,25409,2018
41,...Like Clockwork,Queens of the Stone Age,3.88,19179,2013
42,WORRY.,Jeff Rosenstock,3.9,14086,2016
43,Koi no yokan,Deftones,3.9,14985,2012
44,Virgins,Tim Hecker,3.9,13955,2013
45,DAYTONA,Pusha T,3.83,28498,2018
46,XXX,Danny Brown,3.86,22383,2011
