Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
1,Matthäus-Passion,Johann Sebastian Bach,3.96,1570,1999
2,Symphonie No. 4,Johannes Brahms / Wiener Philharmoniker / Carlos Kleiber,3.93,1548,1998
3,Music for 18 Musicians,Steve Reich / Ensemble Modern,3.93,245,1999
4,Die Kunst der Fuge,Johann Sebastian Bach / Evgeni Koroliov,3.89,1159,1990
5,Pétrouchka; Le sacre du printemps,Igor Stravinsky / Cleveland Orchestra / Pierre Boulez,3.9,684,1992
6,Goldberg Variations BWV 988,Johann Sebastian Bach / Evgeni Koroliov,3.9,376,1999
7,Imaginations From the Other Side,Blind Guardian,3.82,5380,1995
8,The Wooden Prince; Cantata profana,Béla Bartók,3.91,188,1993
9,Les cinq quatuors à cordes; Trio à cordes; Khoom,Giacinto Scelsi,3.86,761,1990
10,Complete Works Opp 1-31,Anton Webern / Pierre Boulez,3.85,1069,1991
11,Symphonie No. 6,Gustav Mahler / Wiener Philharmoniker / Pierre Boulez,3.87,386,1995
12,Somewhere Far Beyond,Blind Guardian,3.81,4222,1992
13,Symphonie No. 5,Gustav Mahler / Wiener Philharmoniker / Pierre Boulez,3.86,496,1997
14,Beauty Reaps the Blood of Solitude,Nature and Organisation,3.83,2265,1994
15,Daphnis et Chloé; La valse,Maurice Ravel / Berliner Philharmoniker / Pierre Boulez,3.86,272,1996
16,Canticles of Ecstasy,Hildegard von Bingen / Sequentia,3.82,1972,1994
17,"The Miraculous Mandarin; Music for Strings, Percussion and Celesta",Béla Bartók,3.84,343,1996
18,Crippled Symmetry,Morton Feldman,3.81,550,1994
19,Nightfall in Middle-Earth,Blind Guardian,3.77,5574,1998
20,Land of the Free,Gamma Ray,3.77,2386,1995
21,The Sun Rises in the East,Jeru the Damaja,3.76,4329,1994
22,Messe in h-Moll,Johann Sebastian Bach,3.82,292,1994
23,Coma of Souls,Kreator,3.76,3862,1990
24,Black Hand Inn,Running Wild,3.78,1346,1994
25,Somewhere Out in Space,Gamma Ray,3.75,1499,1997
26,Concerto for Orchestra; 4 Orchestral Pieces,Béla Bartók / Chicago Symphony Orchestra / Pierre Boulez,3.8,213,1993
27,"If You're Into It, I'm Out of It",Christoph de Babalon,3.72,6420,1997
28,Alina,Arvo Pärt,3.73,2407,1999
29,Depressive Silence [II],Depressive Silence,3.73,4077,1996
30,La mer; Nocturnes; Jeux; Rhapsodie pour clarinette et orchestre,Claude Debussy / Cleveland Orchestra / Pierre Boulez,3.76,531,1995
31,Le poème de l'extase; Piano Concerto; Prométhée,Alexander Scriabin Александр Скрябин,3.77,318,1999
32,Images; Prélude à l'après-midi d'un faune; Printemps,Claude Debussy / Cleveland Orchestra / Pierre Boulez,3.78,230,1992
33,Power Plant,Gamma Ray,3.72,1348,1999
34,Oktophonie,Karlheinz Stockhausen,3.75,320,1994
35,Zauberberg,GAS,3.71,4712,1998
36,Voice of the Blood,Hildegard von Bingen / Sequentia,3.75,456,1995
37,The Piano Concertos; Valses nobles et sentimentales,Maurice Ravel / Pierre Boulez / Krystian Zimerman,3.77,192,1998
38,Königsforst,GAS,3.7,4940,1994
39,"Concertos for Cello, Violin & Piano",György Ligeti,3.74,475,1995
40,BCD,Basic Channel,3.72,2437,1995
41,Pile of Skulls,Running Wild,3.72,1039,1992
42,Hymnvs,Hoedh,3.72,1267,1995
43,A Shedding of Skin,Protector,3.72,883,1991
44,Bolero; Ma mère l'Oye; Rapsodie espagnole; Une barque sur l'océan; Alborada del gracioso,Maurice Ravel / Berliner Philharmoniker / Pierre Boulez,3.75,224,1994
45,"La folia 1490 - 1701: Corelli, Marais, Martín y Coll, Ortiz & Anónimos",[anonymous],3.74,239,1998
46,Miserere; Festina lente; Sarah Was Ninety Years Old,Arvo Pärt / Beethoven Orchester Bonn / The Hilliard Ensemble,3.72,442,1991
47,Dictius te necare,Bethlehem,3.68,3152,1996
48,Wrath of the Math,Jeru the Damaja,3.7,1807,1996
49,Tales From the Twilight World,Blind Guardian,3.67,3018,1990
50,94 Diskont,Oval,3.66,4927,1995
51,Livin' in Hysteria,Heavens Gate,3.69,585,1991
52,Et exspecto resurrectionem mortuorum; Chronochromie; La Ville d'en haut,Olivier Messiaen / Cleveland Orchestra / Pierre Boulez,3.72,257,1995
53,Two Hours to Doom,Mörser,3.68,1153,1997
54,The Time of the Oath,Helloween,3.67,1992,1996
55,Seven Words; Silenzio; In croce,Sofia Gubaidulina София Губайдулина,3.71,251,1995
56,Knights of the Cross,Grave Digger,3.67,704,1998
57,Symphony of Psalms; Symphony in Three Movements; Symphonies of Wind Instruments,Igor Stravinsky / Berliner Philharmoniker / Pierre Boulez,3.7,269,1999
58,Ashore the Celestial Burden,Dark Millennium,3.67,781,1992
59,Black in Mind,Rage,3.67,645,1995
60,Blazon Stone,Running Wild,3.67,932,1991
61,Symphonie No. 9,Gustav Mahler / Chicago Symphony Orchestra / Pierre Boulez,3.99,135,1998
62,Excalibur,Grave Digger,3.66,753,1999
63,Hünengrab im Herbst,Nagelfar,3.65,1165,1997
64,Biokinetics,Porter Ricks,3.64,3480,1996
65,Répons; Dialogue de l'ombre double,Pierre Boulez,3.67,444,1998
66,Songs of Moors and Misty Fields,Empyrium,3.64,1617,1997
67,Herzfrequenz,Blümchen,3.63,1700,1996
68,Ende Neu,Einstürzende Neubauten,3.64,1673,1996
69,The Missing Link,Rage,3.65,532,1993
70,Longing for Death,Atrocity,3.64,984,1992
71,Weißes Papier,Element of Crime,3.65,446,1993
72,Peace Beyond Passion,Me'Shell Ndegéocello,3.64,749,1996
73,Trapped!,Rage,3.64,585,1992
74,Heading for Tomorrow,Gamma Ray,3.63,1301,1990
75,For Philip Guston,Morton Feldman,3.77,175,1992
76,Hellfire's Dominion,Desaster,3.64,447,1998
77,Hongkong,Monolake,3.62,2722,1997
78,Tunes of War,Grave Digger,3.63,847,1996
79,Blut & Krieg,Moonblood,3.63,851,1996
80,Pierrot lunaire; Herzgewächse; Ode to Napoleon,Arnold Schoenberg,3.63,366,1998
81,Planet E.,Heavens Gate,3.67,183,1996
82,Sehnsucht,Rammstein,3.58,7557,1997
83,Tabula Rasa,Einstürzende Neubauten,3.62,1956,1993
84,First Depression,Depressive Age,3.64,334,1992
85,Ordo Virtutum,Hildegard von Bingen / Sequentia,3.65,295,1998
86,...Magni blandinn ok megintíri...,Falkenbach,3.62,1278,1998
87,Sax Pax for a Sax,Moondog & The London Saxophonic,3.64,494,1997
88,"Routine Investigations; The Viola in My Life I,II; For Frank O'Hara; I Met Heine on the Rue Fürstenberg",Morton Feldman / ensemble recherche,3.65,222,1994
89,Fair Warning,Fair Warning,3.66,184,1992
90,Elpmas,Moondog,3.63,505,1991
91,O Jerusalem,Hildegard von Bingen / Sequentia,3.65,253,1997
92,Damals hinterm Mond,Element of Crime,3.62,339,1991
93,Art in Motion,Secrecy,3.66,173,1990
94,Bitter,Meshell Ndegeocello,3.62,454,1999
95,(symbols),KMFDM,3.6,1535,1997
96,Hallucinations,Atrocity,3.6,935,1990
97,Al-Jadida (الجديدة),Rabih Abou-Khalil,3.63,298,1991
98,Wir kommen um uns zu beschweren,Tocotronic,3.6,488,1996
99,Sardonischer Untergang im Zeichen irreligiöser Darbietung,Bethlehem,3.59,1026,1998
100,Gobi,Egschiglen,3.62,270,1997
