Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
1,Turangalîla-Symphonie,Olivier Messiaen,3.82,469,1991
2,무악 동해무속사물,Kim Seok-chul 김석출,3.7,388,1994
3,Noizegarden,Noizegarden,3.67,225,1996
4,밑,Panic,3.63,268,1996
5,Tokebi,Kang Tae-hwan 강태환,3.6,504,1991
6,김광석 네번째,Kim Kwang-Seok 김광석,3.62,253,1994
7,살풀이,"Park Byeong-Cheon 박병천, Tetsu Saitoh 斉藤徹, Lee Tae-Baek 이태백, Cho Gongrye 조공례, Ahn Sook-sun 안숙선, Kazue Sawai 沢井一恵, Fumio Itabashi 板橋文夫, Lee Kwang-soo 이광수, Kim Seok-chul 김석출, Kim Bang-hyun 김방현 & Park Byung-won 박병원",3.61,218,1994
8,후일담,Sister's Barbershop 언니네이발관,3.59,557,1998
9,The Return of N.EX.T Part 1: The Being,N.EX.T,3.59,205,1994
10,Let's Go to My Star,Lee Jung Hyun 이정현,3.54,978,1999
11,비둘기는 하늘의 쥐,Sister's Barbershop 언니네이발관,3.55,382,1996
12,Gongmudohaga ～公無渡河歌～,Lee Sang-eun 이상은,3.54,255,1995
13,나의 외로움이 널 부를때,Jang Pil-soon 장필순,3.5,283,1997
14,Sad Legend,Sad Legend,3.49,339,1998
15,Deli Spice,Deli Spice,3.46,274,1997
16,Roller Coaster,Roller Coaster,3.55,159,1999
17,進化,Lee Yoon-jung 이윤정,3.67,138,1997
18,李博士のポンチャック大百科 (Encyclopedia of Pon-chak),E Pak Sa 이박사,3.39,198,1996
19,Vol.1,The Light & the Salt 빛과소금,3.36,237,1990
20,IV,Seo Taiji and Boys,3.39,189,1995
21,"서태지와 아이들 (Seo Taiji, Boys)","Seo Taiji, Boys",3.28,488,1992
22,보헤미안,Kim Doo Soo 김두수,3.62,130,1991
23,대지의 창 (Daejiui chang),Cho Gongrye 조공례,3.6,135,1995
24,서커스 매직 유랑단,Crying Nut,3.53,122,1999
25,S.E.S. 2: Sea & Eugene & Shoo,S.E.S.,3.22,177,1998
26,II,Seo Taiji and Boys,3.19,201,1993
27,III,Seo Taiji and Boys,3.3,166,1994
28,Éclairs sur l'au-delà...,Olivier Messiaen / Orchestre de l'Opéra Bastille Myung-Whun Chung,3.58,122,1994
29,Myself,Shin Hae-Chul 신해철,3.43,135,1991
30,Panic,Panic,3.33,144,1995
31,천명,Kim Daerye 김대례,3.47,124,1998
32,戀人,Jaurim,3.37,143,1997
33,손익분기점 [Son Ik Boon Gi Jeom],Uhuhboo Project 어어부프로젝트,3.48,117,1998
34,Seo Tai Ji,Seo Taiji,3.32,146,1995
35,진도상여소리,Cho Gongrye 조공례,3.66,83,1995
36,force deux,DEUX,3.48,86,1990
37,Record of Changes,Samulnori,3.39,89,1994
38,Exhibition,Exhibition 전람회,3.27,94,1997
39,외롭고 웃긴 가게 (Lonely and Funny Store),Lee Sang-eun 이상은,3.55,73,1997
40,S.E.S,S.E.S.,2.91,131,1997
41,Culture Revolution,Pipi Band,3.6,68,1995
42,Drifting,Misoni 미선이,3.47,70,1998
43,Circumfluence,Puredigitalsilence,3.35,69,1998
44,"개, 럭키스타 (Dog, Lucky Star)",Uhuhboo Project 어어부프로젝트,3.55,64,1998
45,Concert à quatre; Les offrandes oubliées; Le tombeau resplendissant; Un sourire,Olivier Messiaen / Yvonne Loriod,3.7,46,1995
46,We Hate All Kinds of Violence...,H.O.T.,2.79,133,1996
47,백인영의 가야금산조,Baek In-Young 백인영,3.28,87,1999
48,"Mushroom, Echoway, Kleidose",Yellow Kitchen,3.52,57,1998
49,Invitation,Uhm Jung Hwa,3.25,77,1998
50,Purple Heart,Jaurim,3.16,90,1997
51,The Return of Next - Part 2 - World,N.EX.T,3.5,66,1995
52,3번째 노래모음,Kim Kwang-Seok 김광석,3.32,71,1992
53,18일의 수요일,Huckleberry Finn,3.44,56,1998
54,동경,Jo Dong-Ik 조동익,3.37,67,1994
55,Endless Supply of Pain,Crash 크래쉬,3.08,87,1993
56,낯선사람들,Strange People 낯선사람들,3.16,70,1993
57,KIM HYUN SIK VOL. 6,Kim Hyun Sik 김현식,3.2,62,1991
58,Blue Rain,Fin.K.L.,3.04,82,1998
59,양희은 1991,Yang Hee-Eun 양희은,3.74,41,1991
60,Sea Within,Panic,3.29,65,1998
61,김완선 5집,Kim Wan-sun 김완선,3.22,62,1990
62,"Piano Concertos No. 2, Op. 16; No. 5, Op. 55",Sergei Prokofiev Сергей Прокофьев,3.96,27,1992
63,Reach Out,S.E.S.,3.47,44,1999
64,...But Not Least,Noizegarden,3.48,45,1999
65,Love,S.E.S.,2.94,74,1999
66,영화에서처럼,Lee So-ra 이소라,3.28,49,1996
67,Part 2,Yoon Sang 윤상,3.72,40,1993
68,"92년 장마, 종로에서",Jung Tae Choon 정태춘 & Park Eunok 박은옥,3.57,39,1994
69,Then Comes the White Tiger,Red Sun & Samulnori,3.27,45,1996
70,Golden Hits Vol. 1,Nodance 노땐쓰,3.46,38,1998
71,Crying Nut,Crying Nut,3.03,59,1993
72,III : 기억상실,Boohwal 부활,3.11,50,1993
73,젊은산조 (Young Sanjo),"Sim Sang-Nam 심상남, Lee Tae-Baek 이태백, Kim Sung-Ah 김성아 & Kim Cheong-Man 김청만",3.26,45,1999
74,A Night in Seoul,Toy,3.44,41,1992
75,2집 32°C 여름,Kim Hyun-chul 김현철,3.32,40,1995
76,Vol. 1,Lee So-ra 이소라,3.13,52,1991
77,내 곁에서 떠나가지 말아요,The Light & the Salt 빛과소금,3.26,48,1994
