Rank,Album Name,Artist Name,Rating,Number of Rating,Release Year
1,OK Computer,Radiohead,4.28,106663,1997
2,Loveless,My Bloody Valentine,4.25,76269,1991
3,Dummy,Portishead,4.16,46565,1994
4,Souvlaki,Slowdive,4.14,47458,1993
5,Heaven or Las Vegas,Cocteau Twins,4.16,40601,1990
6,Selected Ambient Works 85-92,Aphex Twin,4.09,46152,1992
7,Laughing Stock,Talk Talk,4.13,26762,1991
8,Mezzanine,Massive Attack,4.07,35992,1998
9,Violator,Depeche Mode,4.04,29676,1990
10,Love Deluxe,Sade,4.09,14629,1992
11,Music Has the Right to Children,Boards of Canada,4.0,33299,1998
12,The Bends,Radiohead,3.86,69166,1995
13,Painkiller,Judas Priest,4.03,15648,1990
14,Dots and Loops,Stereolab,4.01,16799,1997
15,If You're Feeling Sinister,Belle and Sebastian,3.96,23499,1996
16,Selected Ambient Works Volume II,Aphex Twin,3.92,23512,1994
17,Let Love In,Nick Cave and The Bad Seeds,3.94,16498,1994
18,Operation: Doomsday,MF DOOM,3.87,23592,1999
19,Different Class,Pulp,3.9,15395,1995
20,Matthäus-Passion,Johann Sebastian Bach,3.96,1570,1999
21,Richard D. James Album,Aphex Twin,3.84,28012,1996
22,To Bring You My Love,PJ Harvey,3.89,13183,1995
23,Portishead,Portishead,3.85,18663,1997
24,Ladies and Gentlemen We Are Floating in Space,Spiritualized®,3.82,21610,1997
25,The Good Son,Nick Cave & The Bad Seeds,3.88,9522,1990
26,Emperor Tomato Ketchup,Stereolab,3.86,12556,1996
27,Symphony No. 3,Henryk Mikołaj Górecki,3.89,3671,1992
28,Musick to Play in the Dark,Coil,3.87,8227,1999
29,The IVth Crusade,Bolt Thrower,3.88,4716,1992
30,Arnold Schoenberg 2: Streichquartette I-IV,Arnold Schoenberg,3.89,1587,1994
31,Just for a Day,Slowdive,3.82,17434,1991
32,Cobra and Phases Group Play Voltage in the Milky Night,Stereolab,3.87,5296,1999
33,Is This Desire?,PJ Harvey,3.86,8298,1998
34,Transient Random-Noise Bursts With Announcements,Stereolab,3.84,10257,1993
35,...For Victory,Bolt Thrower,3.87,3770,1994
36,Hex,Bark Psychosis,3.83,11897,1994
37,St. John Passion,Johann Sebastian Bach,3.88,342,1990
38,Autechre [LP5],Autechre,3.84,7946,1998
39,Come My Fanatics...,Electric Wizard,3.84,7096,1997
40,Tri repetae,Autechre,3.81,13010,1995
41,The Holy Bible,Manic Street Preachers,3.82,9821,1994
42,Iannis Xenakis 1: Chamber Music 1955-1990,Iannis Xenakis Ιάννης Ξενάκης / Arditti Quartet / Claude Helffer,3.86,1010,1994
